,uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
144,4009404,40152,3858661,0.1,0.13999999999999999,2024-08-21 20:48:04,麻将无双,305,gfg_305101_1724244484429_109665,120.29.68.210,10.000000000000
145,4009746,40153,3858739,0.5,-0.5,2024-08-21 20:48:04,宝石之星,306,gfg_306101_1724244484491_110000,158.62.34.193,10.000000000000
146,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:48:06,777,307,gfg_307101_1724244485988_109999,131.226.108.95,10.000000000000
147,1517351,5143,2247099,0.32,-0.32,2024-08-21 20:48:09,麻将无双,305,gfg_305101_1724244488548_110011,182.232.218.13,5.000000000000
148,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:48:09,777,307,gfg_307101_1724244488273_109999,131.226.108.95,10.000000000000
149,4009696,40056,2797610,0.2,-0.19,2024-08-21 20:48:09,超级王牌,320,gfg_320101_1724244488945_109939,131.226.99.78,10.000000000000
150,3886447,40064,2797634,0.15384615384615385,-0.15384615384615385,2024-08-21 20:48:10,招财金猪,324,gfg_324101_1724244490073_110021,187.85.17.57,0.650000000000
151,887928,5143,2247099,0.1,-0.1,2024-08-21 20:48:11,龙龙龙,313,gfg_313101_1724244490986_110025,49.237.21.33,5.000000000000
152,4007817,40153,3858739,0.1,-0.08,2024-08-21 20:48:11,大运夺宝,302,gfg_302101_1724244490589_109924,114.108.244.58,10.000000000000
153,4009561,40153,3858739,0.25,-0.19,2024-08-21 20:48:12,超级王牌,320,gfg_320101_1724244491952_109811,49.144.38.252,10.000000000000
154,3978997,40056,2797610,0.2,-0.2,2024-08-21 20:48:13,超级王牌,320,gfg_320101_1724244492784_109591,136.158.71.57,10.000000000000
155,4009797,5143,2247099,1.0,-1.0,2024-08-21 20:48:16,金蟾捕鱼,201,gfg_201101_1724244495908_12430,124.122.232.161,5.000000000000
156,3886447,40064,2797634,0.3846153846153846,-0.3846153846153846,2024-08-21 20:48:16,招财金猪,324,gfg_324101_1724244495997_110021,187.85.17.57,0.650000000000
157,4009757,40153,3858739,0.5,-0.5,2024-08-21 20:48:16,超级王牌,320,gfg_320101_1724244495279_109989,131.226.104.21,10.000000000000
158,3871597,40056,2797610,0.5,0.5,2024-08-21 20:48:19,777,307,gfg_307101_1724244498657_109999,131.226.108.95,10.000000000000
159,818673,5032,1797652,0.25,-0.25,2024-08-21 20:48:20,超级王牌,320,gfg_320101_1724244500015_109565,120.29.72.114,10.000000000000
160,818673,5032,1797652,0.25,-0.25,2024-08-21 20:48:22,超级王牌,320,gfg_320101_1724244501296_109565,120.29.72.114,10.000000000000
161,1272565,5009,1582000,39.0,-39.0,2024-08-21 20:48:23,炸金花,12,ld_12101_1724244469_3,39.144.156.162,1.000000000000
162,3404551,5143,2247099,0.08,-0.08,2024-08-21 20:48:23,罗马竞技场,311,gfg_311101_1724244503105_110015,183.88.248.248,5.000000000000
163,4009439,40056,2797610,0.1,-0.1,2024-08-21 20:48:23,麻将无双,305,gfg_305101_1724244502889_110004,175.176.53.246,10.000000000000
164,4009561,40153,3858739,0.25,-0.25,2024-08-21 20:48:23,超级王牌,320,gfg_320101_1724244503017_109811,49.144.38.252,10.000000000000
165,3514475,40240,4607576,13.333333333333334,-13.333333333333334,2024-08-21 20:48:23,十倍金牛,804,1726503882804101045,223.204.221.23,0.150000000000
166,923701,5143,2247099,0.32,-0.32,2024-08-21 20:48:24,罗马竞技场,311,gfg_311101_1724244503629_109966,49.237.22.95,5.000000000000
167,3978997,40056,2797610,0.2,-0.2,2024-08-21 20:48:25,超级王牌,320,gfg_320101_1724244504749_109591,136.158.71.57,10.000000000000
168,1517351,5143,2247099,0.48,-0.48,2024-08-21 20:48:26,麻将无双,305,gfg_305101_1724244505692_110011,182.232.218.13,5.000000000000
169,3871597,40056,2797610,0.5,0.5,2024-08-21 20:48:26,777,307,gfg_307101_1724244505472_109999,131.226.108.95,10.000000000000
170,3514475,40240,4607576,13.333333333333334,-13.333333333333334,2024-08-21 20:48:26,十倍金牛,804,1721505882804101455,223.204.221.23,0.150000000000
171,1230124,5032,1797652,0.2,-0.2,2024-08-21 20:48:27,超级王牌,320,gfg_320101_1724244506406_109991,143.44.144.219,10.000000000000
172,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:48:27,招财金猪,324,gfg_324101_1724244506781_109971,182.232.177.166,5.000000000000
173,4009439,40056,2797610,0.1,0.75,2024-08-21 20:48:28,麻将无双,305,gfg_305101_1724244507669_110004,175.176.53.246,10.000000000000
174,3514475,40240,4607576,12.0,-12.0,2024-08-21 20:48:28,十倍金牛,804,1725508882804101131,223.204.221.23,0.150000000000
175,1517351,5143,2247099,0.48,-0.24,2024-08-21 20:48:29,麻将无双,305,gfg_305101_1724244508648_110011,182.232.218.13,5.000000000000
176,4009420,40152,3858661,0.1,-0.08,2024-08-21 20:48:30,大运夺宝,302,gfg_302101_1724244509335_109819,103.186.145.202,10.000000000000
177,887928,5143,2247099,0.1,-0.1,2024-08-21 20:48:31,龙龙龙,313,gfg_313101_1724244510207_110025,49.237.21.33,5.000000000000
178,4009746,40153,3858739,0.5,-0.5,2024-08-21 20:48:32,宝石之星,306,gfg_306101_1724244511656_110000,158.62.34.193,10.000000000000
179,4007817,40153,3858739,0.1,-0.1,2024-08-21 20:48:32,大运夺宝,302,gfg_302101_1724244511996_109924,114.108.244.58,10.000000000000
180,818673,5032,1797652,0.25,-0.25,2024-08-21 20:48:33,超级王牌,320,gfg_320101_1724244512876_109565,120.29.72.114,10.000000000000
181,1492066,5032,1797652,2.0,-1.4,2024-08-21 20:48:34,十倍金牛,904,gfg_904101_1724244513777_109922,158.62.63.78,10.000000000000
182,4009797,5143,2247099,2.2,-2.2,2024-08-21 20:48:34,金蟾捕鱼,201,gfg_201101_1724244513908_12430,124.122.232.161,5.000000000000
183,818673,5032,1797652,0.25,0.52,2024-08-21 20:48:35,超级王牌,320,gfg_320101_1724244514876_109565,120.29.72.114,10.000000000000
184,4009797,5143,2247099,2.0,-2.0,2024-08-21 20:48:37,金蟾捕鱼,201,gfg_201101_1724244516908_12430,124.122.232.161,5.000000000000
